Year,Exchange_Rate,Currency
2010,30.48,Russian ruble   (RUB)                     
2011,32.20,Russian ruble   (RUB)                     
2012,30.37,Russian ruble   (RUB)                     
2013,32.73,Russian ruble   (RUB)                     
2014,56.24,Russian ruble   (RUB)                     
2015,72.93,Russian ruble   (RUB)                     
2016,60.66,Russian ruble   (RUB)                     
2017,57.60,Russian ruble   (RUB)                     
2018,69.52,Russian ruble   (RUB)                     
2019,61.91,Russian ruble   (RUB)                     
2020,75.46,Russian ruble   (RUB)                     
2000,3.75,Saudi Arabian riyal   (SAR)                     
2001,3.75,Saudi Arabian riyal   (SAR)                     
2002,3.75,Saudi Arabian riyal   (SAR)                     
2003,3.75,Saudi Arabian riyal   (SAR)                     
2004,3.75,Saudi Arabian riyal   (SAR)                     
2005,3.75,Saudi Arabian riyal   (SAR)                     
2006,3.75,Saudi Arabian riyal   (SAR)                     
2007,3.75,Saudi Arabian riyal   (SAR)                     
2008,3.75,Saudi Arabian riyal   (SAR)                     
2009,3.75,Saudi Arabian riyal   (SAR)                     
2010,3.75,Saudi Arabian riyal   (SAR)                     
2011,3.75,Saudi Arabian riyal   (SAR)                     
2012,3.75,Saudi Arabian riyal   (SAR)                     
2013,3.75,Saudi Arabian riyal   (SAR)                     
2014,3.75,Saudi Arabian riyal   (SAR)                     
2015,3.75,Saudi Arabian riyal   (SAR)                     
2016,3.75,Saudi Arabian riyal   (SAR)                     
2017,3.75,Saudi Arabian riyal   (SAR)                     
2018,3.75,Saudi Arabian riyal   (SAR)                     
2019,3.75,Saudi Arabian riyal   (SAR)                     
2020,3.75,Saudi Arabian riyal   (SAR)                     
2000,1.73,Singapore dollar   (SGD)                     
2001,1.85,Singapore dollar   (SGD)                     
2002,1.74,Singapore dollar   (SGD)                     
2003,1.70,Singapore dollar   (SGD)                     
2004,1.63,Singapore dollar   (SGD)                     
2005,1.66,Singapore dollar   (SGD)                     
2006,1.53,Singapore dollar   (SGD)                     
2007,1.44,Singapore dollar   (SGD)                     
2008,1.44,Singapore dollar   (SGD)                     
2009,1.40,Singapore dollar   (SGD)                     
2010,1.29,Singapore dollar   (SGD)                     
2011,1.30,Singapore dollar   (SGD)                     
2012,1.22,Singapore dollar   (SGD)                     
2013,1.27,Singapore dollar   (SGD)                     
2014,1.32,Singapore dollar   (SGD)                     
2015,1.41,Singapore dollar   (SGD)                     
2016,1.45,Singapore dollar   (SGD)                     
2017,1.34,Singapore dollar   (SGD)                     
2018,1.37,Singapore dollar   (SGD)                     
2019,1.35,Singapore dollar   (SGD)                     
2020,1.34,Singapore dollar   (SGD)                     
2000,7.57,South African rand   (ZAR)                     
2001,12.13,South African rand   (ZAR)                     
2002,8.64,South African rand   (ZAR)                     
2003,6.64,South African rand   (ZAR)                     
2004,5.63,South African rand   (ZAR)                     
2005,6.33,South African rand   (ZAR)                     
2006,6.97,South African rand   (ZAR)                     
2007,6.81,South African rand   (ZAR)                     
2008,9.31,South African rand   (ZAR)                     
2009,7.38,South African rand   (ZAR)                     
2010,6.63,South African rand   (ZAR)                     
2011,8.14,South African rand   (ZAR)                     
2012,8.50,South African rand   (ZAR)                     
2013,10.49,South African rand   (ZAR)                     
2014,11.58,South African rand   (ZAR)                     
2015,15.55,South African rand   (ZAR)                     
2016,13.68,South African rand   (ZAR)                     
2017,14.04,South African rand   (ZAR)                     
2018,14.39,South African rand   (ZAR)                     
2019,14.06,South African rand   (ZAR)                     
2020,14.60,South African rand   (ZAR)                     
2000,1.64,Swiss franc   (CHF)                     
2001,1.51,Swiss franc   (CHF)                     
2002,1.39,Swiss franc   (CHF)                     
2003,1.24,Swiss franc   (CHF)                     
2004,1.13,Swiss franc   (CHF)                     
2005,1.31,Swiss franc   (CHF)                     
2006,1.22,Swiss franc   (CHF)                     
2007,1.13,Swiss franc   (CHF)                     
2008,1.06,Swiss franc   (CHF)                     
2009,1.03,Swiss franc   (CHF)                     
2010,0.94,Swiss franc   (CHF)                     
2011,0.94,Swiss franc   (CHF)                     
2012,0.92,Swiss franc   (CHF)                     
2013,0.89,Swiss franc   (CHF)                     
2014,0.99,Swiss franc   (CHF)                     
2015,0.99,Swiss franc   (CHF)                     
2016,1.02,Swiss franc   (CHF)                     
2017,0.98,Swiss franc   (CHF)                     
2018,0.98,Swiss franc   (CHF)                     
2019,0.97,Swiss franc   (CHF)                     
2020,0.89,Swiss franc   (CHF)                     
2000,6.27,Trinidadian dollar   (TTD)                     
2001,6.24,Trinidadian dollar   (TTD)                     
2002,6.29,Trinidadian dollar   (TTD)                     
2003,6.27,Trinidadian dollar   (TTD)                     
2004,6.27,Trinidadian dollar   (TTD)                     
2005,6.28,Trinidadian dollar   (TTD)                     
2006,6.30,Trinidadian dollar   (TTD)                     
2007,6.32,Trinidadian dollar   (TTD)                     
2008,6.29,Trinidadian dollar   (TTD)                     
2009,6.33,Trinidadian dollar   (TTD)                     
2010,6.41,Trinidadian dollar   (TTD)                     
2011,6.42,Trinidadian dollar   (TTD)                     
2012,6.42,Trinidadian dollar   (TTD)                     
2013,6.45,Trinidadian dollar   (TTD)                     
2014,6.38,Trinidadian dollar   (TTD)                     
2015,6.42,Trinidadian dollar   (TTD)                     
2016,6.75,Trinidadian dollar   (TTD)                     
2017,6.76,Trinidadian dollar   (TTD)                     
2018,6.78,Trinidadian dollar   (TTD)                     
2019,6.77,Trinidadian dollar   (TTD)                     
2020,6.73,Trinidadian dollar   (TTD)                     
2000,3.67,U.A.E. dirham   (AED)                     
2001,3.67,U.A.E. dirham   (AED)                     
2002,3.67,U.A.E. dirham   (AED)                     
